# Source: https://miqp.org/index.php/official-list-of-mults/ AS ARCHIVED
#   2026-04-14, four days before the 2026 contest.
#   http://web.archive.org/web/20260414033926/...   Fetched 2026-07-26.
# TABLE 0 is the Michigan-station list: 49 states + DC + 13 provinces + DX + 83
#   counties = 147.  TABLE 1 is the non-Michigan list: the 83 counties alone.
### TABLE 0
Abbr	Long
AB	ALBERTA
AK	ALASKA
AL	ALABAMA
AR	ARKANSAS
AZ	ARIZONA
BC	BRITISH COLUMBIA
CA	CALIFORNIA
CO	COLORADO
CT	CONNECTICUT
DC	DISTRICT OF COLUMBIA
DE	DELAWARE
DX	DX
FL	FLORIDA
GA	GEORGIA
HI	HAWAII
IA	IOWA
ID	IDAHO
IL	ILLINOIS
IN	INDIANA
KS	KANSAS
KY	KENTUCKY
LA	LOUISIANA
MA	MASSACHUSETTS
MB	MANITOBA
MD	MARYLAND
ME	MAINE
MN	MINNESOTA
MO	MISSOURI
MS	MISSISSIPPI
MT	MONTANA
NB	NEW BRUNSWICK
NC	NORTH CAROLINA
ND	NORTH DAKOTA
NE	NEBRASKA
NH	NEW HAMPSHIRE
NJ	NEW JERSEY
NL	NEWFOUNDLAND
NM	NEW MEXICO
NS	NOVA SCOTIA
NT	NW TERRITORIES
NU	NUNAVUT
NV	NEVADA
NY	NEW YORK
OH	OHIO
OK	OKLAHOMA
ON	ONTARIO
OR	OREGON
PA	PENNSYLVANIA
PE	PRINCE EDWARD ISLAND
QC	QUEBEC
RI	RHODE ISLAND
SC	SOUTH CAROLINA
SD	SOUTH DAKOTA
SK	SASKATCHEWAN
TN	TENNESSEE
TX	TEXAS
UT	UTAH
VA	VIRGINIA
VT	VERMONT
WA	WASHINGTON
WI	WISCONSIN
WV	WEST VIRGINIA
WY	WYOMING
YT	YUKON TERRITORIES
ALCO	ALCONA
ALGE	ALGER
ALLE	ALLEGAN
ALPE	ALPENA
ANTR	ANTRIM
AREN	ARENAC
BARA	BARAGA
BARR	BARRY
BAY	BAY
BENZ	BENZIE
BERR	BERRIEN
BRAN	BRANCH
CALH	CALHOUN
CASS	CASS
CHAR	CHARLEVOIX
CHEB	CHEBOYGAN
CHIP	CHIPPEWA
CLAR	CLARE
CLIN	CLINTON
CRAW	CRAWFORD
DELT	DELTA
DICK	DICKINSON
EATO	EATON
EMME	EMMET
GENE	GENESEE
GLAD	GLADWIN
GOGE	GOGEBIC
GRAT	GRATIOT
GRTR	GRAND TRAVERSE
HILL	HILLSDALE
HOUG	HOUGHTON
HURO	HURON
INGH	INGHAM
IONI	IONIA
IOSC	IOSCO
IRON	IRON
ISAB	ISABELLA
JACK	JACKSON
KALK	KALKASKA
KENT	KENT
KEWE	KEWEENAW
KZOO	KALAMAZOO
LAKE	LAKE
LAPE	LAPEER
LEEL	LEELANAU
LENA	LENAWEE
LIVI	LIVINGSTON
LUCE	LUCE
MACK	MACKINAC
MACO	MACOMB
MANI	MANISTEE
MARQ	MARQUETTE
MASO	MASON
MCLM	MONTCALM
MECO	MECOSTA
MENO	MENOMINEE
MIDL	MIDLAND
MISS	MISSAUKEE
MONR	MONROE
MTMO	MONTMORENCY
MUSK	MUSKEGON
NEWA	NEWAYGO
OAKL	OAKLAND
OCEA	OCEANA
OGEM	OGEMAW
ONTO	ONTONAGON
OSCE	OSCEOLA
OSCO	OSCODA
OTSE	OTSEGO
OTTA	OTTAWA
PRES	PRESQUE ISLE
ROSC	ROSCOMMON
SAGI	SAGINAW
SANI	SANILAC
SCHO	SCHOOLCRAFT
SHIA	SHIAWASSEE
STCL	ST CLAIR
STJO	ST JOSEPH
TUSC	TUSCOLA
VANB	VAN BUREN
WASH	WASHTENAW
WAYN	WAYNE
WEXF	WEXFORD
### TABLE 1
Abbr	Long
ALCO	ALCONA
ALGE	ALGER
ALLE	ALLEGAN
ALPE	ALPENA
ANTR	ANTRIM
AREN	ARENAC
BARA	BARAGA
BARR	BARRY
BAY	BAY
BENZ	BENZIE
